customerid,full_name,age,gender,country,joindate,purchase_amount
1000,Stephanie Jennings,51.0,Male,USA,2023-08-01,439.35
1001,Crystal Brown,47.0,Male,USA,2023-07-17,356.03
1002,Christopher Alvarado,,Male,USA,2025-03-06,
1003,Melissa Rios,34.0,Female,USA,2023-06-17,285.7
1004,Kim Burke,51.0,Male,USA,2024-11-11,401.58
1005,Sarah Durham,50.0,Male,USA,2024-03-30,135.37
1006,Ashley Nelson,65.0,Male,USA,2025-01-10,
1007,William Jones,24.0,Female,USA,2025-02-13,
1008,Heather Douglas,45.0,Male,USA,2025-04-06,222.26
1009,Kevin Thomas,,Female,USA,2024-01-18,251.28
1010,Alex Mccann,19.0,Male,USA,2024-12-31,236.5
1011,Collin Pruitt,43.0,Male,USA,2024-09-05,344.96
1012,April Nguyen,57.0,Male,USA,2025-02-19,427.05
1013,Sarah Ramirez,20.0,Female,USA,2024-07-09,382.17
1014,Tim Brown,53.0,Female,USA,2023-09-29,
1015,Carol Bell,56.0,Female,USA,2025-02-14,
1016,Mindy Hill,60.0,Female,USA,2023-10-28,140.19
1017,Derrick Scott,38.0,Female,USA,2024-11-01,490.95
1018,Brenda Garcia,,Female,USA,2025-01-14,405.64
1019,Morgan Torres,56.0,Female,USA,2023-06-28,114.36
1020,Timothy Medina,65.0,Male,USA,2024-02-05,425.46
1021,Edward Diaz,39.0,Male,USA,2024-09-17,360.08
1022,Julia Jacobs,39.0,Female,USA,2023-12-24,161.92
1023,Pamela Harvey,56.0,Female,USA,2025-04-08,441.72
1024,Glen Graves,46.0,Male,USA,2024-02-11,
1025,April Wood,31.0,Female,USA,2024-01-15,130.26
1026,Lisa Miller,,Female,USA,2024-03-22,104.68
1027,Brian Johnston,58.0,Female,USA,2025-01-25,400.1
1028,Rachel Cooper,,Female,USA,2023-05-30,268.61
1029,Karen Mcbride,57.0,Female,USA,2023-08-17,355.32
1030,James King,50.0,Female,USA,2024-07-17,496.49
1031,Marisa Wilson,27.0,Female,USA,2024-03-30,185.41
1032,Ryan Wood,29.0,Male,USA,2024-04-06,204.94
1033,Richard Hale,,Male,USA,2023-06-19,283.59
1034,Linda Avila,57.0,Female,USA,2025-03-03,380.34
1035,Ricky Thompson,50.0,Female,USA,2024-11-08,117.57
1036,Michael Jackson,24.0,Female,USA,2024-08-19,269.42
1037,Maria Wise,65.0,Female,USA,2023-09-12,
1038,Dustin Hull,62.0,Female,USA,2024-05-05,216.06
1039,Jonathan Schmidt,25.0,Female,USA,2024-04-21,288.78
1040,Jesse Moss Jr.,53.0,Male,USA,2024-08-14,317.97
1041,Julie Cruz,37.0,Male,USA,2024-02-17,238.51
1042,Brandy Johnson,21.0,Female,USA,2023-07-30,234.53
1043,Victoria Young,26.0,Female,USA,2024-04-16,
1044,Andrew Bautista,52.0,Male,USA,2023-12-05,291.74
1045,Ashley Garza,48.0,Male,USA,2025-03-18,262.7
1046,Paul Parker,50.0,Female,USA,2023-10-23,381.98
1047,Robert Wilkinson,43.0,Male,USA,2024-01-14,225.21
1048,John Nichols,38.0,Male,USA,2024-09-09,100.6
1049,Christine Sanders,51.0,Male,USA,2024-01-14,250.21
1050,Michelle Hayes,23.0,Male,USA,2024-05-07,396.11
1051,David Lowe,55.0,Female,USA,2023-10-27,188.25
1052,Charles Ramirez,28.0,Female,USA,2023-06-02,173.16
1053,Jessica Thomas,47.0,Female,USA,2023-06-21,212.17
1054,Rebecca Adkins,58.0,Male,USA,2023-04-28,315.04
1055,Nancy Wu,54.0,Female,USA,2025-01-04,206.26
1056,Stacey Briggs Md,37.0,Male,USA,2023-07-11,465.61
1057,Tiffany Campbell,27.0,Female,USA,2025-04-05,448.54
1058,Derek Sandoval,19.0,Male,USA,2024-05-21,445.29
1059,William Larsen,42.0,Male,USA,2023-08-16,222.21
1060,Jennifer Waller,65.0,Male,USA,2023-12-28,498.47
1061,Gregory Davis,43.0,Male,USA,2024-06-29,481.08
1062,Victoria Rios,57.0,Male,USA,2024-09-12,
1063,Nathan Holmes,25.0,Male,USA,2024-01-25,354.04
1064,Jeffrey Evans,24.0,Female,USA,2024-04-05,319.14
1065,Nicole Reyes,29.0,Male,USA,2023-06-07,485.32
1066,Nicholas Munoz,,Male,USA,2024-10-06,222.67
1067,Ray Hobbs,59.0,Female,USA,2025-01-18,139.93
1068,Deborah Williams,50.0,Male,USA,2024-06-03,222.85
1069,Jonathan Dougherty,51.0,Female,USA,2023-10-05,278.34
1070,Richard Velazquez,18.0,Male,USA,2024-07-05,195.15
1071,Alejandro Vincent,29.0,Female,USA,2024-03-05,281.54
1072,Autumn Vaughn,,Female,USA,2023-07-30,135.08
1073,Daniel Sparks,52.0,Male,USA,2025-04-19,308.58
1074,Sean Johnson,47.0,Male,USA,2024-10-01,351.03
1075,Tracey Price Md,42.0,Male,USA,2024-05-21,462.13
1076,Mrs. Pamela Wilson Dds,61.0,Female,USA,2023-07-23,162.84
1077,Brianna Castro,28.0,Female,USA,2024-08-19,376.31
1078,Ann Fuller,56.0,Female,USA,2023-11-09,308.77
1079,Shannon Schwartz,,Female,USA,2023-11-24,305.58
1080,Alan Robles,53.0,Female,USA,2024-10-05,425.35
1081,Christopher Schroeder,56.0,Female,USA,2024-02-16,350.53
1082,Miss Sydney Garcia,34.0,Female,USA,2024-02-22,480.83
1083,Paul Carter,64.0,Male,USA,2025-03-07,141.92
1084,Anna Holt,41.0,Male,USA,2024-03-15,114.48
1085,Lori Nicholson,22.0,Female,USA,2024-06-17,332.89
1086,Angela Davis,54.0,Male,USA,2023-05-03,476.29
1087,Jordan Harris,39.0,Female,USA,2023-10-14,453.19
1088,Ricardo Butler,19.0,Female,USA,2023-05-14,138.4
1089,Jeffrey Jones,59.0,Male,USA,2024-02-24,399.67
1090,Angelica Carter,,Male,USA,2025-01-25,268.19
1091,April Davis,30.0,Female,USA,2023-07-22,305.38
1092,Ryan Duncan,20.0,Male,USA,2025-03-25,148.59
1093,Hunter Watkins,58.0,Female,USA,2024-03-10,231.92
1094,Rachel Clark,37.0,Male,USA,2023-12-15,366.61
1095,Tyler Knight Jr.,45.0,Male,USA,2024-09-30,267.91
1096,Nancy George,42.0,Female,USA,2023-05-13,
1097,Angela Coffey,65.0,Female,USA,2024-12-13,140.73
1098,John Nguyen,58.0,Female,USA,2024-11-11,188.05
1099,Dorothy Parks,,Male,USA,2023-12-13,273.79
1100,Michael Lopez,29.0,Male,USA,2024-12-27,353.95
1101,Michael Lambert,25.0,Female,USA,2024-09-22,330.01
1102,Tracy Hatfield,55.0,Female,USA,2024-01-24,140.72
1103,Christopher Rodriguez,41.0,Male,USA,2023-05-18,304.98
1104,Jamie Buck,,Female,USA,2024-04-15,291.5
1105,Mark Casey,33.0,Female,USA,2023-05-28,257.56
1106,Manuel Farley,49.0,Male,USA,2025-01-08,
1107,Julia Leblanc,26.0,Male,USA,2025-03-12,137.21
1108,Patrick King,33.0,Female,USA,2023-09-19,226.62
1109,Brian Woods,33.0,Male,USA,2024-08-04,122.72
1110,Melissa Ortega,31.0,Female,USA,2023-08-09,259.93
1111,Ricardo Perez,63.0,Female,USA,2023-09-08,
1112,Dominique Dean,21.0,Female,USA,2023-12-05,183.33
1113,Julie Jackson,34.0,Female,USA,2023-10-27,253.42
1114,Travis Rhodes,24.0,Female,USA,2023-08-16,305.79
1115,Alyssa Garcia,25.0,Male,USA,2025-01-15,251.97
1116,Melissa Lee,34.0,Female,USA,2024-03-29,306.96
1117,Troy Hutchinson,59.0,Male,USA,2025-01-02,307.25
1118,Christian Brewer,22.0,Male,USA,2025-01-18,214.81
1119,William Anderson,35.0,Female,USA,2024-01-17,313.35
1120,Joshua Wright,31.0,Male,USA,2024-07-11,400.1
1121,Angelica Parsons,45.0,Male,USA,2023-10-18,314.59
1122,Mark Lee,36.0,Female,USA,2025-02-27,102.44
1123,Robin Miller,34.0,Female,USA,2023-07-03,323.42
1124,Luis Mora,35.0,Male,USA,2025-02-09,498.96
1125,Lori Rodriguez,47.0,Female,USA,2024-08-01,266.09
1126,Kathryn Baker,43.0,Female,USA,2024-08-05,169.94
1127,Carlos Smith,23.0,Female,USA,2025-04-18,151.87
1128,Shawn Martin,18.0,Female,USA,2023-12-29,249.37
1129,Ann Boyer,55.0,Female,USA,2024-03-03,153.42
1130,Jesse Paul,65.0,Female,USA,2025-01-15,363.2
1131,Eric Washington,61.0,Male,USA,2023-06-28,148.73
1132,Andrew Edwards,32.0,Female,USA,2025-04-17,103.86
1133,Crystal Miller,53.0,Male,USA,2024-04-13,
1134,Linda Romero,33.0,Female,USA,2024-05-15,
1135,Leah Miller,47.0,Male,USA,2025-01-03,464.69
1136,Stacey Gonzalez,30.0,Male,USA,2023-08-27,297.18
1137,Sophia Byrd,26.0,Male,USA,2023-08-02,273.83
1138,Michelle Jenkins,37.0,Female,USA,2023-10-30,228.89
1139,John Wyatt,18.0,Male,USA,2025-10-01,124.18
1140,John Hebert,45.0,Female,USA,2025-01-01,133.67
1141,Catherine Fields,38.0,Female,USA,2023-09-17,297.11
1142,David Hess,38.0,Female,USA,2023-06-11,303.29
1143,Stephanie Gonzalez,35.0,Female,USA,2023-06-30,439.37
1144,Erin Gregory,46.0,Male,USA,2024-01-12,391.06
1145,Derek Barrera,36.0,Male,USA,2024-04-20,409.91
1146,Dr. Sarah Walton Md,54.0,Female,USA,2023-05-22,285.09
1147,Scott Roberts,46.0,Male,USA,2023-06-03,350.49
1148,Raymond Jones,19.0,Male,USA,2023-12-30,
1149,Brandi Todd,,Male,USA,2024-02-27,325.53
1150,Sandra Armstrong,53.0,Female,USA,2024-02-24,157.9
1151,Barbara Jones,63.0,Male,USA,2023-08-13,323.55
1152,Nichole Kent,24.0,Male,USA,2024-09-24,143.99
1153,Cory Murphy,51.0,Female,USA,2024-12-06,215.17
1154,Melvin Boyd,50.0,Male,USA,2023-07-17,200.06
1155,Kyle Guerra,62.0,Male,USA,2024-12-06,476.14
1156,Ryan Roberts,56.0,Male,USA,2024-01-02,408.62
1157,Carolyn Freeman,37.0,Female,USA,2023-12-23,444.78
1158,Joshua Wagner,62.0,Female,USA,2023-08-17,348.12
1159,Anthony Long,56.0,Female,USA,2024-12-07,470.41
1160,Loretta Martinez,,Female,USA,2024-02-18,
1161,Carla Fletcher,26.0,Female,USA,2024-09-05,472.16
1162,Gregory Wright,26.0,Female,USA,2024-04-12,359.53
1163,Thomas Garcia,60.0,Male,USA,2023-11-02,311.29
1164,Kara Parks,37.0,Female,USA,2024-04-30,369.47
1165,Philip Delgado,25.0,Male,USA,2023-11-27,129.38
1166,Jacob Thompson,26.0,Female,USA,2023-10-09,162.75
1167,Katrina Rivera,27.0,Male,USA,2023-09-05,343.99
1168,Jesse Daugherty,23.0,Female,USA,2024-06-10,136.69
1169,Catherine Bishop,38.0,Female,USA,2025-02-18,349.18
1170,Kevin Harris,29.0,Female,USA,2023-05-13,408.52
1171,Meredith Wolfe,42.0,Female,USA,2025-04-09,388.04
1172,Dr. David Mcgee,29.0,Male,USA,2024-08-13,101.94
1173,David Hunt,42.0,Male,USA,2023-06-27,400.76
1174,Gary Mccarty,42.0,Male,USA,2024-03-02,488.68
1175,Sarah Carter,58.0,Female,USA,2023-05-31,
1176,Kimberly Marquez,37.0,Female,USA,2023-08-25,121.82
1177,Jon Watson,49.0,Female,USA,2023-08-05,353.84
1178,Keith Leonard,23.0,Female,USA,2025-01-18,261.69
1179,Ruben Thomas,31.0,Male,USA,2024-08-03,460.14
1180,Scott Simpson,23.0,Female,USA,2024-07-28,377.96
1181,Kenneth Hawkins,38.0,Male,USA,2024-11-01,491.76
1182,Crystal Cohen,26.0,Female,USA,2025-03-20,403.03
1183,Marcus Pittman,50.0,Male,USA,2024-03-11,298.17
1184,Katie Berry,53.0,Male,USA,2023-11-05,229.44
1185,Amy Wright,21.0,Male,USA,2025-04-08,416.85
1186,Yvonne Cabrera,41.0,Male,USA,2024-07-10,481.15
1187,Olivia Fischer,61.0,Female,USA,2023-06-08,471.48
1188,Jonathan Edwards,43.0,Male,USA,2023-07-24,425.52
1189,Catherine Luna,22.0,Male,USA,2024-05-23,106.01
1190,Christian Vargas,,Female,USA,2024-10-17,166.25
1191,Kelly Jones,30.0,Female,USA,2024-04-25,
1192,Kevin Phillips,,Male,USA,2023-07-20,173.09
1193,Andrea Salazar,,Male,USA,2023-10-10,497.84
1194,Christopher Vazquez,49.0,Female,USA,2024-10-08,
1195,Charles Petersen,51.0,Male,USA,2023-10-30,419.97
1196,Stephanie Walsh,59.0,Female,USA,2023-08-10,364.76
1197,Douglas Riggs,26.0,Male,USA,2023-08-25,207.72
1198,Mr. Anthony Booker,40.0,Female,USA,2024-05-03,102.57
1199,Jason Moore,65.0,Male,USA,2023-09-02,239.11
1200,Christopher Howard,21.0,Female,USA,2024-02-23,130.0
1201,Tracy Chung,48.0,Male,USA,2025-02-15,147.56
1202,Hannah Calhoun,45.0,Female,USA,2023-11-13,193.01
1203,Mark Watts,22.0,Male,USA,2024-10-19,447.81
1204,Diane Bryant,29.0,Female,USA,2023-08-29,334.37
1205,Michael Barron,59.0,Female,USA,2023-08-08,415.16
1206,Sarah Townsend,60.0,Female,USA,2024-06-18,
1207,Jeremy Curry,41.0,Female,USA,2024-04-05,370.42
1208,Steven Williams,20.0,Male,USA,2024-06-26,440.4
1209,Miranda Hall,58.0,Female,USA,2023-11-27,410.37
1210,Valerie Henderson,18.0,Male,USA,2025-02-03,314.4
1211,Melvin Lee,27.0,Male,USA,2024-10-21,432.05
1212,Matthew Saunders,,Male,USA,2024-02-04,286.6
1213,Jeffrey Freeman,33.0,Male,USA,2025-03-06,183.0
1214,Beth Carlson,,Female,USA,2023-08-24,390.62
1215,Derek Morgan,21.0,Female,USA,2024-10-30,406.39
1216,James Cunningham,35.0,Male,USA,2025-03-20,223.13
1217,Ms. Mary Orozco,38.0,Male,USA,2025-03-28,471.91
1218,Amy Decker,21.0,Female,USA,2024-09-30,481.9
1219,Makayla Osborn,48.0,Female,USA,2023-11-03,268.41
1220,Pamela Cunningham,45.0,Female,USA,2023-12-23,
1221,William Contreras,27.0,Male,USA,2023-08-23,187.55
1222,Justin Rogers,,Male,USA,2023-08-08,133.84
1223,Heidi Brown,51.0,Male,USA,2025-01-28,323.83
1224,Ronald Nguyen,18.0,Female,USA,2024-04-21,294.74
1225,David Sanchez,29.0,Male,USA,2024-12-29,444.35
1226,Carrie Hale,55.0,Male,USA,2024-12-13,108.45
1227,Christopher Garcia,19.0,Male,USA,2024-02-05,267.86
1228,Christine Ramirez,48.0,Female,USA,2023-06-11,165.52
1229,Wendy Gardner,49.0,Male,USA,2023-10-06,327.3
1230,Robert Thomas,18.0,Female,USA,2024-12-26,185.75
1231,Samuel Johnson,43.0,Female,USA,2024-08-26,414.66
1232,Steven Martinez,,Male,USA,2025-03-06,317.15
1233,Brian Jones,52.0,Male,USA,2023-07-04,297.46
1234,Sharon Randolph,23.0,Female,USA,2024-11-12,109.79
1235,Michael Campbell,28.0,Male,USA,2024-06-28,341.9
1236,Lisa Gonzalez,35.0,Male,USA,2025-04-03,158.9
1237,Samantha Delacruz,52.0,Female,USA,2023-10-20,425.99
1238,Rhonda Allen,47.0,Male,USA,2024-02-27,405.08
1239,Lori Perkins,57.0,Female,USA,2023-01-09,267.33
1240,Misty Thompson,55.0,Male,USA,2024-09-19,
1241,Stephanie Gibson,44.0,Female,USA,2023-04-27,206.98
1242,Ryan Mcfarland,47.0,Female,USA,2024-11-23,174.98
1243,Jane Mason,22.0,Male,USA,2025-01-20,309.67
1244,Dr. Matthew Cook Dvm,39.0,Male,USA,2024-07-03,
1245,Amy Christian,44.0,Female,USA,2024-09-02,236.93
1246,James Le,33.0,Female,USA,2023-06-25,284.05
1247,Kristina Palmer,32.0,Male,USA,2025-04-15,271.06
1248,Ms. Veronica Sullivan,34.0,Male,USA,2024-03-25,128.01
1249,Lee Campbell,19.0,Female,USA,2025-04-16,144.92
1250,Justin Dougherty,54.0,Female,USA,2024-08-02,431.96
1251,Susan Hoover,31.0,Male,USA,2025-04-03,195.92
1252,Laurie Smith,60.0,Female,USA,2023-12-30,312.67
1253,Crystal Lindsey,26.0,Male,USA,2023-07-27,499.91
1254,Nicholas Melendez,18.0,Female,USA,2024-04-29,256.36
1255,Michael Garcia,23.0,Female,USA,2024-05-23,125.64
1256,Alex Morgan,22.0,Female,USA,2025-01-30,140.89
1257,Paul Ross,25.0,Male,USA,2023-07-20,413.73
1258,Michelle Hawkins,59.0,Male,USA,2025-02-20,
1259,Cathy Goodman,28.0,Male,USA,2024-10-09,321.66
1260,Leslie Chavez,41.0,Male,USA,2024-08-17,305.19
1261,Kimberly Anderson,54.0,Female,USA,2023-09-22,483.1
1262,Stephanie Morales,28.0,Male,USA,2023-12-16,460.15
1263,Kevin Barnett,52.0,Male,USA,2023-07-13,106.47
1264,Crystal Williams,38.0,Female,USA,2024-05-29,298.3
1265,Lauren Morales,22.0,Male,USA,2024-09-11,190.87
1266,Terry Lewis,,Male,USA,2023-09-09,369.45
1267,Jose Wright,54.0,Male,USA,2024-04-12,301.76
1268,Michael Berry,19.0,Male,USA,2023-08-14,130.9
1269,Jeffrey Reese,32.0,Female,USA,2024-07-12,186.65
1270,Eric Hull,63.0,Female,USA,2024-05-18,
1271,Cory Nelson,35.0,Female,USA,2023-08-24,187.06
1272,Danielle Harris,49.0,Female,USA,2024-03-27,347.04
1273,Phillip Castillo,57.0,Male,USA,2023-10-30,302.88
1274,Joseph Ortiz,38.0,Male,USA,2024-06-17,227.63
1275,Bill Lane,42.0,Male,USA,2024-01-08,
1276,Jay Miller,56.0,Male,USA,2025-03-31,281.32
1277,Terry Smith,25.0,Male,USA,2023-12-21,486.91
1278,Rhonda Jackson,29.0,Female,USA,2024-01-15,148.2
1279,Debra Rivera,59.0,Male,USA,2023-12-05,333.87
1280,Dale Hayes,26.0,Female,USA,2024-12-30,398.6
1281,Jessica Patel,27.0,Male,USA,2023-06-30,208.09
1282,Kenneth Gutierrez,49.0,Female,USA,2024-04-10,193.18
1283,Brandi Lewis,22.0,Female,USA,2023-07-06,455.02
1284,Tara Cook,48.0,Male,USA,2025-02-03,163.21
1285,Shelby Morgan,49.0,Female,USA,2024-08-14,493.75
1286,Rebecca Grant,21.0,Female,USA,2024-12-29,101.48
1287,Christopher Henderson,40.0,Male,USA,2024-12-01,128.62
1288,Chelsea Osborne,34.0,Male,USA,2024-09-05,387.28
